stop_id;stop_code;stop_name;stop_lat;stop_lon;zone_id;alias;stop_area;stop_desc;lest_x;lest_y;zone_name;authority
26117;7820283-1;Tervishoiu;58.3731642;26.69975523;26117;;Tartu linn;"Ravila tn. suunas";6473475.60;657928.79;TartuLinn;Tartu LV
145561;7820370-1;Saekoja;58.36355308;26.73465073;145561;;Tartu linn;;6472488.71;660012.60;;Tartu LV
26259;7820294-1;Vahi;58.40433139;26.708449;26259;;Tartu linn;;6476964.62;658296.95;TartuLinn;Tartu LV
26261;7820303-1;Tulbi;58.37124468;26.69375987;26261;;Tartu linn;"Ravila tn. suunas";6473247.88;657586.85;TartuLinn;Tartu LV
26262;7820304-1;Tulbi;58.37135629;26.69447958;26262;;Tartu linn;"Lunini tn. suunas";6473262.00;657628.43;TartuLinn;Tartu LV
26373;7820190-1;Purde;58.36351475;26.73051063;26373;;Tartu linn;;6472474.58;659770.65;TartuLinn;Tartu LV
26375;7820194-1;Raadi;58.39633321;26.73244303;26375;;Tartu linn;"Põllu tn.suunas";6476131.41;659734.80;TartuLinn;Tartu LV
26378;7820197-1;Raeplats;58.37974785;26.72576992;26378;;Tartu linn;"Turu tn suunas";6474269.82;659419.96;TartuLinn;Tartu LV
26380;7820199-1;Rahumäe;58.37907527;26.77329165;26380;;Tartu linn;"Nõlvaku suunas";6474308.90;662200.85;TartuLinn;Tartu LV
26382;7820201-1;Raja;58.36176427;26.69149115;26382;;Tartu linn;"Kesklinna suunas";6472187.50;657496.56;TartuLinn;Tartu LV
26383;7820202-1;Raua;58.36396104;26.73642701;26383;;Tartu linn;;6472538.35;660114.62;TartuLinn;Tartu LV
26384;7820203-1;Raudtee I;58.35501632;26.70768839;26384;;Tartu linn;"raudtee suunas Soinaste tn.l";6471474.68;658474.18;TartuLinn;Tartu LV
26386;7820205-1;Raudtee II;58.35464445;26.70747193;26386;;Tartu linn;"raudtee suunas Aardla tn.l";6471432.78;658463.19;TartuLinn;Tartu LV
26392;7820212-1;Nisu;58.37272134;26.68578763;26392;;Tartu linn;"Riia tn. suunas";6473393.52;657114.14;TartuLinn;Tartu LV
26076;7820048-1;Ihaste;58.34493408;26.77937065;26076;;Tartu linn;"Kraavikalda suunas";6470524.30;662713.71;TartuLinn;Tartu LV
26394;7820216-1;Riia;58.36986857;26.71612224;26394;;Tartu linn;;6473147.50;658900.56;TartuLinn;Tartu LV
26397;7820219-1;Riiamäe;58.37382781;26.72187409;26397;;Tartu linn;"linnast väljuv";6473601.75;659218.98;TartuLinn;Tartu LV
26500;7800641-1;Pakla;58.34565984;26.49153749;26500;;Tartu linn;"Viljandi suunas";6469943.00;645868.18;;Tartu LV
26502;7801134-1;Vorbuse tee;58.39982657;26.68405381;26502;;Tartu linn;"Tartu suunas";6476405.98;656892.00;;Tartu LV
25939;7820252-1;Vaba;58.36558986;26.73448717;25939;;Tartu linn;"Kalevi tn.l";6472714.99;659993.79;TartuLinn;Tartu LV
26513;7820231-1;Salemi;58.36864837;26.73432864;26513;;Tartu linn;;6473054.98;659970.63;TartuLinn;Tartu LV
26516;7820006-1;Aianduse;58.35033505;26.71773418;26516;;Tartu linn;"linnast väljuv";6470977.50;659082.93;TartuLinn;Tartu LV
26518;7820235-1;Sepa turg;58.34979371;26.74113758;26518;;Tartu linn;"linna sisenev";6470973.00;660454.56;TartuLinn;Tartu LV
26521;7820239-1;Silla II;58.3687858;26.73627969;26521;;Tartu linn;"Kalevi tn. suunas";6473074.93;660084.09;TartuLinn;Tartu LV
26524;7820144-1;Maaülikool;58.38730604;26.69653853;26524;;Tartu linn;;6475041.86;657677.42;TartuLinn;Tartu LV
26529;7820149-1;Muru;58.39960631;26.71699995;26529;;Tartu linn;"Narva mnt. suunas";6476459.00;658817.76;TartuLinn;Tartu LV
26530;7820150-1;Muru;58.39986954;26.71687568;26530;;Tartu linn;"Põllu tn.suunas";6476488.00;658809.31;TartuLinn;Tartu LV
26533;7820158-1;Männimetsa;58.35311862;26.76651814;26533;;Tartu linn;"Kesklinna suunas";6471404.00;661924.12;TartuLinn;Tartu LV
29139;7800999-1;Tüki;58.38844456;26.58220273;29139;;Tartu linn;"Veeriku suunas";6474905.50;650990.25;;Tartu LV
26669;7820160-1;Triigi;58.35498359;26.78887475;26669;;Tartu linn;"Kasteheina suunas";6471665.72;663223.27;TartuLinn;Tartu LV
26680;7820170-1;Lõuna;58.37480653;26.69735258;26680;;Tartu linn;"Ravila tn. suunas";6473652.72;657780.97;TartuLinn;Tartu LV
119592;7820135-1;Luha;58.37223634;26.75361904;119592;;Tartu linn;;6473500.43;661082.18;TartuLinn;Tartu LV
26848;7820004-1;Aiandi;58.39440348;26.7160297;26848;;Tartu linn;;6475877.69;658784.53;TartuLinn;Tartu LV
26849;7820007-1;Aida;58.37323195;26.73683422;26849;;Tartu linn;;6473571.04;660096.32;TartuLinn;Tartu LV
26852;7820010-1;Anne;58.37807643;26.75176816;26852;;Tartu linn;"Jaama tn. suunas";6474145.90;660947.29;TartuLinn;Tartu LV
